Day,Date,Rented_Bike_Count
1,2018/01/01,4290
2,2018/01/02,6446
3,2018/01/03,6512
4,2018/01/04,6453
5,2018/01/05,6967
6,2018/01/06,5180
7,2018/01/07,4714
8,2018/01/08,5711
9,2018/01/09,5500
10,2018/01/10,4161
11,2018/01/11,4017
12,2018/01/12,4111
13,2018/01/13,3503
14,2018/01/14,4225
15,2018/01/15,6334
16,2018/01/16,6705
17,2018/01/17,6292
18,2018/01/18,6383
19,2018/01/19,7472
20,2018/01/20,5576
21,2018/01/21,4973
22,2018/01/22,4503
23,2018/01/23,3981
24,2018/01/24,3154
25,2018/01/25,3113
26,2018/01/26,2931
27,2018/01/27,2693
28,2018/01/28,2828
29,2018/01/29,4088
30,2018/01/30,3360
31,2018/01/31,3830
32,2018/02/01,5377
33,2018/02/02,5954
34,2018/02/03,3290
35,2018/02/04,2487
36,2018/02/05,3932
37,2018/02/06,3988
38,2018/02/07,4697
39,2018/02/08,5613
40,2018/02/09,6268
41,2018/02/10,4425
42,2018/02/11,2850
43,2018/02/12,4813
44,2018/02/13,6267
45,2018/02/14,6771
46,2018/02/15,3484
47,2018/02/16,2593
48,2018/02/17,3118
49,2018/02/18,4562
50,2018/02/19,7604
51,2018/02/20,7955
52,2018/02/21,7491
53,2018/02/22,7712
54,2018/02/23,5797
55,2018/02/24,6356
56,2018/02/25,6500
57,2018/02/26,9247
58,2018/02/27,8862
59,2018/02/28,3820
60,2018/03/01,5132
61,2018/03/02,8433
62,2018/03/03,12191
63,2018/03/04,4688
64,2018/03/05,8597
65,2018/03/06,12003
66,2018/03/07,11170
67,2018/03/08,7711
68,2018/03/09,11642
69,2018/03/10,11064
70,2018/03/11,11843
71,2018/03/12,13339
72,2018/03/13,15963
73,2018/03/14,19180
74,2018/03/15,6227
75,2018/03/16,15277
76,2018/03/17,15389
77,2018/03/18,9609
78,2018/03/19,8968
79,2018/03/20,11515
80,2018/03/21,7384
81,2018/03/22,14007
82,2018/03/23,14969
83,2018/03/24,12243
84,2018/03/25,10963
85,2018/03/26,13084
86,2018/03/27,14710
87,2018/03/28,17295
88,2018/03/29,17450
89,2018/03/30,19301
90,2018/03/31,19247
91,2018/04/01,17388
92,2018/04/02,21585
93,2018/04/03,21015
94,2018/04/04,19995
95,2018/04/05,2596
96,2018/04/06,11520
97,2018/04/07,11159
98,2018/04/08,6666
99,2018/04/09,19082
100,2018/04/10,16696
101,2018/04/11,0
102,2018/04/12,22729
103,2018/04/13,23240
104,2018/04/14,6980
105,2018/04/15,10207
106,2018/04/16,23198
107,2018/04/17,22234
108,2018/04/18,21670
109,2018/04/19,17730
110,2018/04/20,22593
111,2018/04/21,24404
112,2018/04/22,6852
113,2018/04/23,977
114,2018/04/24,20144
115,2018/04/25,26285
116,2018/04/26,25670
117,2018/04/27,25861
118,2018/04/28,24940
119,2018/04/29,25349
120,2018/04/30,25462
121,2018/05/01,26820
122,2018/05/02,7448
123,2018/05/03,21027
124,2018/05/04,26670
125,2018/05/05,25353
126,2018/05/06,14556
127,2018/05/07,28140
128,2018/05/08,26429
129,2018/05/09,28895
130,2018/05/10,0
131,2018/05/11,26649
132,2018/05/12,3034
133,2018/05/13,25913
134,2018/05/14,27793
135,2018/05/15,28478
136,2018/05/16,6416
137,2018/05/17,3521
138,2018/05/18,16087
139,2018/05/19,30994
140,2018/05/20,27829
141,2018/05/21,31236
142,2018/05/22,13790
143,2018/05/23,27674
144,2018/05/24,28781
145,2018/05/25,29057
146,2018/05/26,28079
147,2018/05/27,28991
148,2018/05/28,31020
149,2018/05/29,24355
150,2018/05/30,30372
151,2018/05/31,31681
152,2018/06/01,31928
153,2018/06/02,30693
154,2018/06/03,29761
155,2018/06/04,33257
156,2018/06/05,33424
157,2018/06/06,30498
158,2018/06/07,32002
159,2018/06/08,35103
160,2018/06/09,25911
161,2018/06/10,29342
162,2018/06/11,24832
163,2018/06/12,34544
164,2018/06/13,36149
165,2018/06/14,23818
166,2018/06/15,33492
167,2018/06/16,34360
168,2018/06/17,32487
169,2018/06/18,27541
170,2018/06/19,35349
171,2018/06/20,34639
172,2018/06/21,34621
173,2018/06/22,34079
174,2018/06/23,31949
175,2018/06/24,27028
176,2018/06/25,32702
177,2018/06/26,5200
178,2018/06/27,29755
179,2018/06/28,21647
180,2018/06/29,30297
181,2018/06/30,20479
182,2018/07/01,3231
183,2018/07/02,5240
184,2018/07/03,29293
185,2018/07/04,31781
186,2018/07/05,28182
187,2018/07/06,33676
188,2018/07/07,31076
189,2018/07/08,30080
190,2018/07/09,6191
191,2018/07/10,20641
192,2018/07/11,24135
193,2018/07/12,29428
194,2018/07/13,30088
195,2018/07/14,25814
196,2018/07/15,22790
197,2018/07/16,26823
198,2018/07/17,28435
199,2018/07/18,27896
200,2018/07/19,27820
201,2018/07/20,26699
202,2018/07/21,21283
203,2018/07/22,18563
204,2018/07/23,24890
205,2018/07/24,24635
206,2018/07/25,25918
207,2018/07/26,24915
208,2018/07/27,23275
209,2018/07/28,16880
210,2018/07/29,18190
211,2018/07/30,23695
212,2018/07/31,22897
213,2018/08/01,20712
214,2018/08/02,20693
215,2018/08/03,20794
216,2018/08/04,18363
217,2018/08/05,17415
218,2018/08/06,19171
219,2018/08/07,23806
220,2018/08/08,23880
221,2018/08/09,21644
222,2018/08/10,23833
223,2018/08/11,20009
224,2018/08/12,17498
225,2018/08/13,22827
226,2018/08/14,23836
227,2018/08/15,18565
228,2018/08/16,25329
229,2018/08/17,28820
230,2018/08/18,26398
231,2018/08/19,24547
232,2018/08/20,26827
233,2018/08/21,25133
234,2018/08/22,26072
235,2018/08/23,15958
236,2018/08/24,11658
237,2018/08/25,27302
238,2018/08/26,19310
239,2018/08/27,14435
240,2018/08/28,9092
241,2018/08/29,9184
242,2018/08/30,20959
243,2018/08/31,27817
244,2018/09/01,26010
245,2018/09/02,26881
246,2018/09/03,10802
247,2018/09/04,29529
248,2018/09/05,31114
249,2018/09/06,27838
250,2018/09/07,30381
251,2018/09/08,29813
252,2018/09/09,28354
253,2018/09/10,30781
254,2018/09/11,31694
255,2018/09/12,31809
256,2018/09/13,30991
257,2018/09/14,28199
258,2018/09/15,25079
259,2018/09/16,14178
260,2018/09/17,30290
261,2018/09/18,0
262,2018/09/19,0
263,2018/09/20,14282
264,2018/09/21,18266
265,2018/09/22,26398
266,2018/09/23,20060
267,2018/09/24,17259
268,2018/09/25,23350
269,2018/09/26,28018
270,2018/09/27,30789
271,2018/09/28,0
272,2018/09/29,31447
273,2018/09/30,0
274,2018/10/01,27909
275,2018/10/02,0
276,2018/10/03,30349
277,2018/10/04,0
278,2018/10/05,4522
279,2018/10/06,16037
280,2018/10/07,27614
281,2018/10/08,29362
282,2018/10/09,0
283,2018/10/10,24410
284,2018/10/11,24526
285,2018/10/12,26237
286,2018/10/13,25542
287,2018/10/14,24349
288,2018/10/15,26198
289,2018/10/16,26956
290,2018/10/17,26502
291,2018/10/18,26504
292,2018/10/19,27437
293,2018/10/20,25355
294,2018/10/21,23906
295,2018/10/22,26075
296,2018/10/23,21601
297,2018/10/24,26418
298,2018/10/25,27258
299,2018/10/26,13377
300,2018/10/27,18398
301,2018/10/28,11589
302,2018/10/29,19877
303,2018/10/30,20822
304,2018/10/31,21545
305,2018/11/01,22964
306,2018/11/02,24077
307,2018/11/03,0
308,2018/11/04,20471
309,2018/11/05,23472
310,2018/11/06,0
311,2018/11/07,16525
312,2018/11/08,1721
313,2018/11/09,0
314,2018/11/10,18473
315,2018/11/11,13138
316,2018/11/12,21003
317,2018/11/13,21992
318,2018/11/14,22707
319,2018/11/15,21502
320,2018/11/16,20660
321,2018/11/17,15689
322,2018/11/18,14319
323,2018/11/19,18956
324,2018/11/20,19127
325,2018/11/21,15732
326,2018/11/22,16496
327,2018/11/23,16314
328,2018/11/24,6477
329,2018/11/25,11212
330,2018/11/26,17162
331,2018/11/27,16282
332,2018/11/28,16524
333,2018/11/29,16423
334,2018/11/30,16297
335,2018/12/01,9539
336,2018/12/02,8523
337,2018/12/03,7222
338,2018/12/04,8729
339,2018/12/05,8307
340,2018/12/06,6669
341,2018/12/07,8549
342,2018/12/08,8032
343,2018/12/09,7233
344,2018/12/10,3453
345,2018/12/11,5848
346,2018/12/12,5496
347,2018/12/13,6019
348,2018/12/14,6398
349,2018/12/15,7198
350,2018/12/16,4632
351,2018/12/17,3776
352,2018/12/18,2620
353,2018/12/19,4334
354,2018/12/20,4568
355,2018/12/21,5734
356,2018/12/22,7184
357,2018/12/23,6624
358,2018/12/24,2014
359,2018/12/25,3966
360,2018/12/26,5605
361,2018/12/27,5351
362,2018/12/28,6594
363,2018/12/29,7663
364,2018/12/30,4027
365,2018/12/31,3423
